locationabbr,income,sex,ageyears,race_ethnicity,education,questionid,behavior_pct
AK,,,35-44,,,Q046,35.31722325293754
AK,,,35-44,,,Q047,17.780324381813347
AK,,,45-54,,,Q018,42.143212951432126
AK,,,45-54,,,Q019,15.978907242693774
AK,,,45-54,,,Q043,58.389958734525436
AK,,,45-54,,,Q044,25.590457589285712
AK,,,45-54,,,Q045,38.73631785114718
AK,,,45-54,,,Q046,34.2764675592173
AK,,,45-54,,,Q047,21.87081232492997
AK,,,55-64,,,Q018,37.48368013055896
AK,,,55-64,,,Q019,16.389928661351238
AK,,,55-64,,,Q043,58.210485880398686
AK,,,55-64,,,Q044,23.637568710359407
AK,,,55-64,,,Q045,41.33248259860789
AK,,,55-64,,,Q046,31.246213786213783
AK,,,55-64,,,Q047,24.497623337623338
AK,,,65+,,,Q018,36.86899563318777
AK,,,65+,,,Q019,17.863200257566
AK,,,65+,,,Q043,59.19866447127699
AK,,,65+,,,Q044,24.35652665285365
AK,,,65+,,,Q045,45.78488372093023
AK,,,65+,,,Q046,31.70658661486845
AK,,,65+,,,Q047,28.585577332765226
AK,,,,American Indian/Alaska Native,,Q018,53.706055776892434
AK,,,,American Indian/Alaska Native,,Q019,27.115758591785415
AK,,,,American Indian/Alaska Native,,Q043,51.60540145985401
AK,,,,American Indian/Alaska Native,,Q044,20.466867696946853
AK,,,,American Indian/Alaska Native,,Q045,34.98978293413173
AK,,,,American Indian/Alaska Native,,Q046,28.997903780068725
AK,,,,American Indian/Alaska Native,,Q047,28.13883223913954
AK,,,,Asian,,Q018,53.4
AK,,,,Asian,,Q019,27.5
AK,,,,Asian,,Q043,51.77782426778243
AK,,,,Asian,,Q044,28.102155172413795
AK,,,,Asian,,Q045,37.94957264957265
AK,,,,Asian,,Q046,41.935521235521236
AK,,,,Asian,,Q047,29.884229390681003
AK,,,,Hispanic,,Q018,34.884313725490195
AK,,,,Hispanic,,Q019,18.132107023411372
AK,,,,Hispanic,,Q043,57.00737704918033
AK,,,,Hispanic,,Q044,24.768333333333334
AK,,,,Hispanic,,Q045,39.30133555926544
AK,,,,Hispanic,,Q046,36.77046153846154
AK,,,,Hispanic,,Q047,21.34441717791411
AK,,,,Non-Hispanic Black,,Q018,35.4
AK,,,,Non-Hispanic Black,,Q019,17.2
AK,,,,Non-Hispanic Black,,Q043,51.770175438596496
AK,,,,Non-Hispanic Black,,Q044,33.555621301775155
AK,,,,Non-Hispanic Black,,Q045,35.777844311377244
AK,,,,Non-Hispanic Black,,Q046,52.55913978494624
AK,,,,Non-Hispanic Black,,Q047,26.226916802610116
AK,,,,Non-Hispanic White,,Q018,38.64707278481013
AK,,,,Non-Hispanic White,,Q019,16.139488215488218
AK,,,,Non-Hispanic White,,Q043,62.35941447368422
AK,,,,Non-Hispanic White,,Q044,28.071433344470435
AK,,,,Non-Hispanic White,,Q045,41.373422638981914
AK,,,,Non-Hispanic White,,Q046,38.08999365482233
AK,,,,Non-Hispanic White,,Q047,17.96157157648085
AK,,,,Other,,Q018,44.76735751295337
AK,,,,Other,,Q019,19.351158645276293
AK,,,,Other,,Q043,54.89699097291876
AK,,,,Other,,Q044,27.44917355371901
AK,,,,Other,,Q045,36.545426829268294
AK,,,,Other,,Q046,37.54521739130434
AK,,,,Other,,Q047,20.722664092664093
AK,,,,,<High school,Q018,50.73226495726495
AK,,,,,<High school,Q019,23.43733031674208
AK,,,,,<High school,Q043,49.73066914498142
AK,,,,,<High school,Q044,20.303864734299516
AK,,,,,<High school,Q045,34.569614299153336
AK,,,,,<High school,Q046,32.192355008787345
AK,,,,,<High school,Q047,33.59372972972974
AK,,,,,College,Q018,31.747409883026982
AK,,,,,College,Q019,12.820107369448513
AK,,,,,College,Q043,69.94977049993797
AK,,,,,College,Q044,33.7356640723073
AK,,,,,College,Q045,46.428147493370375
AK,,,,,College,Q046,41.86034523809524
AK,,,,,College,Q047,11.447383004926108
AK,,,,,High school,Q018,45.49571055576278
AK,,,,,High school,Q019,24.582452757423834
AK,,,,,High school,Q043,52.566678495386796
AK,,,,,High school,Q044,22.19905005480453
AK,,,,,High school,Q045,35.041512848353236
AK,,,,,High school,Q046,33.60588134723884
AK,,,,,High school,Q047,25.94378651845518
AK,,,,,Some college/tech,Q018,42.22746317512275
AK,,,,,Some college/tech,Q019,18.121042084168334
AK,,,,,Some college/tech,Q043,58.682996018579956
AK,,,,,Some college/tech,Q044,26.96413851351351
AK,,,,,Some college/tech,Q045,39.00811633412242
AK,,,,,Some college/tech,Q046,38.073026211278794
AK,,,,,Some college/tech,Q047,19.66407619800936
AK,,,,,,Q018,41.23518022499426
AK,,,,,,Q019,19.020721998896505
AK,,,,,,Q043,59.36259266761191
AK,,,,,,Q044,27.28341754327839
AK,,,,,,Q045,39.81416266357462
AK,,,,,,Q046,37.79488067744419
AK,,,,,,Q047,20.71850471698113
AL,15000 - 24999,,,,,Q018,47.03478628861616
AL,15000 - 24999,,,,,Q019,25.76733362331449
AL,15000 - 24999,,,,,Q043,38.926703183841155
AL,15000 - 24999,,,,,Q044,12.635973711518504
AL,15000 - 24999,,,,,Q045,23.09319669307613
AL,15000 - 24999,,,,,Q046,22.955414650425496
AL,15000 - 24999,,,,,Q047,37.80840608823302
AL,25000 - 34999,,,,,Q018,45.35260695187166
AL,25000 - 34999,,,,,Q019,20.762508428860414
AL,25000 - 34999,,,,,Q043,43.20948379351741
AL,25000 - 34999,,,,,Q044,15.604849954531677
AL,25000 - 34999,,,,,Q045,27.405857359635807
AL,25000 - 34999,,,,,Q046,26.25367775831874
AL,25000 - 34999,,,,,Q047,32.749660734861095
AL,35000 - 49999,,,,,Q018,45.25108359133127
AL,35000 - 49999,,,,,Q019,20.2205047318612
AL,35000 - 49999,,,,,Q043,47.50071667462972
AL,35000 - 49999,,,,,Q044,17.52444551591128
AL,35000 - 49999,,,,,Q045,28.474595508331323
AL,35000 - 49999,,,,,Q046,27.234005961935335
AL,35000 - 49999,,,,,Q047,27.251661409043113
AL,50000 - 74999,,,,,Q018,45.15825753949258
AL,50000 - 74999,,,,,Q019,17.026967930029155
AL,50000 - 74999,,,,,Q043,49.195559134836635
AL,50000 - 74999,,,,,Q044,20.07527180198936
AL,50000 - 74999,,,,,Q045,29.827522721976226
AL,50000 - 74999,,,,,Q046,29.88107747105966
AL,50000 - 74999,,,,,Q047,24.075499901009703
AL,75000 or greater,,,,,Q018,42.864529505582134
AL,75000 or greater,,,,,Q019,12.334605433376455
AL,75000 or greater,,,,,Q043,54.610253667481665
AL,75000 or greater,,,,,Q044,23.468627149877147
AL,75000 or greater,,,,,Q045,31.91628014129934
AL,75000 or greater,,,,,Q046,33.96035687732342
AL,75000 or greater,,,,,Q047,17.9581625729407
AL,Less than 15000,,,,,Q018,49.244198895027615
AL,Less than 15000,,,,,Q019,32.56369346733669
AL,Less than 15000,,,,,Q043,36.55727699530516
AL,Less than 15000,,,,,Q044,10.76946093564474
AL,Less than 15000,,,,,Q045,21.91765957446809
AL,Less than 15000,,,,,Q046,19.632964051548722
AL,Less than 15000,,,,,Q047,42.66619228336495
AL,,Female,,,,Q018,43.79791645697031
AL,,Female,,,,Q019,19.519679704342472
AL,,Female,,,,Q043,42.63099389129175
AL,,Female,,,,Q044,14.28981081081081
AL,,Female,,,,Q045,24.79728815088891
AL,,Female,,,,Q046,22.059140889060025
AL,,Female,,,,Q047,33.44738504806118
AL,,Male,,,,Q018,47.62276483846732
AL,,Male,,,,Q019,22.123700751188103
AL,,Male,,,,Q043,48.47695930532047
AL,,Male,,,,Q044,20.35855292541313
AL,,Male,,,,Q045,30.440086015126802
AL,,Male,,,,Q046,32.54097664543524
AL,,Male,,,,Q047,26.49526838592423
AL,,,18-24,,,Q018,43.988127294981645
AL,,,18-24,,,Q019,25.237688442211056
AL,,,18-24,,,Q043,51.27192393736018
AL,,,18-24,,,Q044,27.137152580828133
AL,,,18-24,,,Q045,28.680079230333902
AL,,,18-24,,,Q046,42.87679826933477
AL,,,18-24,,,Q047,19.937467578401318
AL,,,25-34,,,Q018,47.48464939987365
AL,,,25-34,,,Q019,18.664267352185092
AL,,,25-34,,,Q043,47.11035017043694
AL,,,25-34,,,Q044,20.6178125
AL,,,25-34,,,Q045,25.100999063378083
AL,,,25-34,,,Q046,32.69007134363853
AL,,,25-34,,,Q047,23.487825089240186
AL,,,35-44,,,Q018,44.243321110529074
AL,,,35-44,,,Q019,17.47202572347267
AL,,,35-44,,,Q043,44.36868239921337
AL,,,35-44,,,Q044,18.069482288828336
AL,,,35-44,,,Q045,25.773100717644144
AL,,,35-44,,,Q046,29.447749881572715
AL,,,35-44,,,Q047,27.499821728187918
AL,,,45-54,,,Q018,50.1774322169059
AL,,,45-54,,,Q019,18.67519160951997
AL,,,45-54,,,Q043,42.35509537721258
AL,,,45-54,,,Q044,15.411497835497835
AL,,,45-54,,,Q045,25.385306828003458
AL,,,45-54,,,Q046,23.738910825929583
AL,,,45-54,,,Q047,31.970175570228086
AL,,,55-64,,,Q018,48.29319416642837
AL,,,55-64,,,Q019,21.825238784370477
AL,,,55-64,,,Q043,42.27571499626959
AL,,,55-64,,,Q044,12.614231927710843
AL,,,55-64,,,Q045,26.28045904929136
AL,,,55-64,,,Q046,20.10126673040153
AL,,,55-64,,,Q047,35.74804369090316
AL,,,65+,,,Q018,40.71691352126135
AL,,,65+,,,Q019,22.788520032706458
AL,,,65+,,,Q043,46.42789719268722
AL,,,65+,,,Q044,12.884641638225254
AL,,,65+,,,Q045,32.442127329192544
AL,,,65+,,,Q046,19.7487924833003
AL,,,65+,,,Q047,37.27210893303513
AL,,,,American Indian/Alaska Native,,Q018,42.64
AL,,,,American Indian/Alaska Native,,Q019,16.510559006211178
AL,,,,American Indian/Alaska Native,,Q043,46.159173126614995
AL,,,,American Indian/Alaska Native,,Q044,21.038381201044388
AL,,,,American Indian/Alaska Native,,Q045,25.93953488372093
AL,,,,American Indian/Alaska Native,,Q046,30.2285
AL,,,,American Indian/Alaska Native,,Q047,31.99325581395349
AL,,,,Hispanic,,Q018,36.72660944206009
AL,,,,Hispanic,,Q019,26.401321585903084
AL,,,,Hispanic,,Q043,48.29683257918552
AL,,,,Hispanic,,Q044,19.266666666666666
AL,,,,Hispanic,,Q045,27.49909090909091
AL,,,,Hispanic,,Q046,31.796724470134876
AL,,,,Hispanic,,Q047,28.115969257045258
AL,,,,Non-Hispanic Black,,Q018,42.727614858260026
AL,,,,Non-Hispanic Black,,Q019,28.932543640897755
AL,,,,Non-Hispanic Black,,Q043,41.67517256735694
AL,,,,Non-Hispanic Black,,Q044,17.576874577797792
AL,,,,Non-Hispanic Black,,Q045,24.243778905809364
AL,,,,Non-Hispanic Black,,Q046,29.336130264134933
AL,,,,Non-Hispanic Black,,Q047,32.97794227535961
AL,,,,Non-Hispanic White,,Q018,47.546234952991824
AL,,,,Non-Hispanic White,,Q019,17.722567640207846
AL,,,,Non-Hispanic White,,Q043,46.6999237345964
AL,,,,Non-Hispanic White,,Q044,16.742394874498196
AL,,,,Non-Hispanic White,,Q045,28.57821136234703
AL,,,,Non-Hispanic White,,Q046,25.60972329871338
AL,,,,Non-Hispanic White,,Q047,29.36832888097359
AL,,,,Other,,Q018,41.84885496183206
AL,,,,Other,,Q019,18.79455252918288
AL,,,,Other,,Q043,47.41653543307087
AL,,,,Other,,Q044,23.192838196286473
AL,,,,Other,,Q045,31.228342245989303
AL,,,,Other,,Q046,34.72989949748744
AL,,,,Other,,Q047,26.20646900269542
AL,,,,,<High school,Q018,51.2802414231258
AL,,,,,<High school,Q019,29.026003949967084
AL,,,,,<High school,Q043,34.00341839191142
AL,,,,,<High school,Q044,8.73930748597903
AL,,,,,<High school,Q045,21.520581113801452
AL,,,,,<High school,Q046,18.60607101947308
AL,,,,,<High school,Q047,45.28843220338984
AL,,,,,College,Q018,38.21484047402005
AL,,,,,College,Q019,13.67831524737907
AL,,,,,College,Q043,55.73862518910742
AL,,,,,College,Q044,24.357932348737496
AL,,,,,College,Q045,32.70818936718526
AL,,,,,College,Q046,34.33006464536101
AL,,,,,College,Q047,17.57640698753379
AL,,,,,High school,Q018,48.07530031612223
AL,,,,,High school,Q019,25.23290838375108
AL,,,,,High school,Q043,41.88459376133478
AL,,,,,High school,Q044,14.620882352941177
AL,,,,,High school,Q045,26.06447525479754
AL,,,,,High school,Q046,24.26563372905028
AL,,,,,High school,Q047,34.66427035690551
AL,,,,,Some college/tech,Q018,46.40660635388176
AL,,,,,Some college/tech,Q019,17.9786420283627
AL,,,,,Some college/tech,Q043,47.39965693001373
AL,,,,,Some college/tech,Q044,18.793033151904996
AL,,,,,Some college/tech,Q045,28.026342381612842
AL,,,,,Some college/tech,Q046,28.779164313946925
AL,,,,,Some college/tech,Q047,26.577848260796504
AL,,,,,,Q018,45.70347195169459
AL,,,,,,Q019,21.061756514819976
AL,,,,,,Q043,45.174977024170566
AL,,,,,,Q044,17.052092103732996
AL,,,,,,Q045,27.466797601338786
AL,,,,,,Q046,26.83174080898482
AL,,,,,,Q047,30.63060072179751
AR,15000 - 24999,,,,,Q018,45.73359665427508
AR,15000 - 24999,,,,,Q019,22.954160654160656
AR,15000 - 24999,,,,,Q043,41.550912646675364
AR,15000 - 24999,,,,,Q044,15.40942477876106
AR,15000 - 24999,,,,,Q045,26.836968900569428
AR,15000 - 24999,,,,,Q046,25.190821052631577
AR,15000 - 24999,,,,,Q047,40.408971962616825
AR,25000 - 34999,,,,,Q018,47.62769528728212
AR,25000 - 34999,,,,,Q019,19.182013422818795
AR,25000 - 34999,,,,,Q043,44.24140233722871
AR,25000 - 34999,,,,,Q044,18.050153113303843
AR,25000 - 34999,,,,,Q045,28.16971949983102
AR,25000 - 34999,,,,,Q046,28.161834032935097
AR,25000 - 34999,,,,,Q047,32.296044236495106
AR,35000 - 49999,,,,,Q018,47.38263684520305
AR,35000 - 49999,,,,,Q019,21.215018094089263
AR,35000 - 49999,,,,,Q043,47.514750733137824
AR,35000 - 49999,,,,,Q044,16.441041666666667
AR,35000 - 49999,,,,,Q045,30.593926763917832
AR,35000 - 49999,,,,,Q046,27.06982905982906
AR,35000 - 49999,,,,,Q047,28.511626461079334
AR,50000 - 74999,,,,,Q018,45.198899889989
AR,50000 - 74999,,,,,Q019,18.593464788732394
AR,50000 - 74999,,,,,Q043,48.72658340767172
AR,50000 - 74999,,,,,Q044,19.752461491996378
AR,50000 - 74999,,,,,Q045,31.78146811070999
AR,50000 - 74999,,,,,Q046,31.30852847643828
AR,50000 - 74999,,,,,Q047,26.512817967489763
AR,75000 or greater,,,,,Q018,41.97011121408712
AR,75000 or greater,,,,,Q019,11.597736916548797
AR,75000 or greater,,,,,Q043,56.09717539863327
AR,75000 or greater,,,,,Q044,23.922890733056708
AR,75000 or greater,,,,,Q045,33.13450655624568
AR,75000 or greater,,,,,Q046,33.55227576974565
AR,75000 or greater,,,,,Q047,19.137714457710445
AR,Less than 15000,,,,,Q018,53.5147947327653
AR,Less than 15000,,,,,Q019,32.649196141479095
AR,Less than 15000,,,,,Q043,36.91591273660571
AR,Less than 15000,,,,,Q044,13.2364024991779
AR,Less than 15000,,,,,Q045,25.62805035506779
AR,Less than 15000,,,,,Q046,21.2389182468138
AR,Less than 15000,,,,,Q047,43.62355998876089
AR,,Female,,,,Q018,43.43239816879915
AR,,Female,,,,Q019,19.37538762055915
AR,,Female,,,,Q043,42.7698675693331
AR,,Female,,,,Q044,15.223958522830635
AR,,Female,,,,Q045,26.94802338194528
AR,,Female,,,,Q046,23.552709949794615
AR,,Female,,,,Q047,34.617902521342074
AR,,Male,,,,Q018,48.318994718630485
AR,,Male,,,,Q019,22.136679827035156
AR,,Male,,,,Q043,49.810039742619225
AR,,Male,,,,Q044,21.219194358578054
AR,,Male,,,,Q045,33.203029141104295
AR,,Male,,,,Q046,33.48808502873825
AR,,Male,,,,Q047,28.631602265284894
AR,,,18-24,,,Q018,49.298072805139185
AR,,,18-24,,,Q019,27.123110151187905
AR,,,18-24,,,Q043,51.390380549682874
AR,,,18-24,,,Q044,26.63670613562971
AR,,,18-24,,,Q045,31.79017094017094
AR,,,18-24,,,Q046,42.630974358974356
AR,,,18-24,,,Q047,17.660936170212764
AR,,,25-34,,,Q018,45.99486842105263
AR,,,25-34,,,Q019,19.099452054794522
AR,,,25-34,,,Q043,49.547408207343416
AR,,,25-34,,,Q044,22.00695890410959
AR,,,25-34,,,Q045,29.372011019283747
AR,,,25-34,,,Q046,33.1028453181583
AR,,,25-34,,,Q047,24.401411202778984
AR,,,35-44,,,Q018,44.09709401709402
AR,,,35-44,,,Q019,18.62811950790861
AR,,,35-44,,,Q043,45.91747685185185
AR,,,35-44,,,Q044,18.979740871613664
AR,,,35-44,,,Q045,28.598558067030396
AR,,,35-44,,,Q046,29.767486950037284
AR,,,35-44,,,Q047,29.750643564356434
AR,,,45-54,,,Q018,48.82286063569682
AR,,,45-54,,,Q019,19.9564617314931
AR,,,45-54,,,Q043,40.86320954907161
AR,,,45-54,,,Q044,14.723809523809525
AR,,,45-54,,,Q045,25.54262691377921
AR,,,45-54,,,Q046,24.793761140819964
AR,,,45-54,,,Q047,35.80386323268206
AR,,,55-64,,,Q018,48.06689755741888
AR,,,55-64,,,Q019,20.926726726726727
AR,,,55-64,,,Q043,42.98114558472554
AR,,,55-64,,,Q044,13.952563214409423
AR,,,55-64,,,Q045,28.841371566764554
AR,,,55-64,,,Q046,22.016897959183673
AR,,,55-64,,,Q047,37.28692901802133
AR,,,65+,,,Q018,41.640734603700636
AR,,,65+,,,Q019,20.008791684712
AR,,,65+,,,Q043,47.019292578535094
AR,,,65+,,,Q044,15.065792748693275
AR,,,65+,,,Q045,34.74609394212641
AR,,,65+,,,Q046,22.83948187334682
AR,,,65+,,,Q047,39.90183696149572
AR,,,,American Indian/Alaska Native,,Q018,48.87439024390244
AR,,,,American Indian/Alaska Native,,Q019,14.99722222222222
AR,,,,American Indian/Alaska Native,,Q043,50.376205787781345
AR,,,,American Indian/Alaska Native,,Q044,15.53843137254902
AR,,,,American Indian/Alaska Native,,Q045,34.920711974110034
AR,,,,American Indian/Alaska Native,,Q046,28.472944297082226
AR,,,,American Indian/Alaska Native,,Q047,34.632925472747495
AR,,,,Hispanic,,Q018,36.28475609756098
AR,,,,Hispanic,,Q019,31.17252396166134
AR,,,,Hispanic,,Q043,42.4988
AR,,,,Hispanic,,Q044,19.64474761255116
AR,,,,Hispanic,,Q045,25.204234972677597
AR,,,,Hispanic,,Q046,33.397186700767264
AR,,,,Hispanic,,Q047,31.4258491652274
AR,,,,Non-Hispanic Black,,Q018,41.073687182382834
AR,,,,Non-Hispanic Black,,Q019,30.020500595947553
AR,,,,Non-Hispanic Black,,Q043,42.89399671052631
AR,,,,Non-Hispanic Black,,Q044,20.723113604488077
AR,,,,Non-Hispanic Black,,Q045,26.249152071170418
AR,,,,Non-Hispanic Black,,Q046,32.08348051948052
AR,,,,Non-Hispanic Black,,Q047,35.11936241610738
AR,,,,Non-Hispanic White,,Q018,47.76040207404712
AR,,,,Non-Hispanic White,,Q019,17.984836527621194
AR,,,,Non-Hispanic White,,Q043,47.17720267928241
AR,,,,Non-Hispanic White,,Q044,17.521632340994888
AR,,,,Non-Hispanic White,,Q045,30.937814607275143
AR,,,,Non-Hispanic White,,Q046,27.017687567959403
AR,,,,Non-Hispanic White,,Q047,31.241906099440186
AR,,,,Other,,Q018,41.3304347826087
AR,,,,Other,,Q019,21.643617021276597
AR,,,,Other,,Q043,47.39095394736842
AR,,,,Other,,Q044,20.73803056027165
AR,,,,Other,,Q045,28.21196013289037
AR,,,,Other,,Q046,36.497160883280756
AR,,,,Other,,Q047,28.908681245858183
AR,,,,,<High school,Q018,46.165026833631494
AR,,,,,<High school,Q019,30.084732824427483
AR,,,,,<High school,Q043,33.40167455405898
AR,,,,,<High school,Q044,9.864743349569126
AR,,,,,<High school,Q045,22.61622418879056
AR,,,,,<High school,Q046,19.243929824561405
AR,,,,,<High school,Q047,46.706500839310245
AR,,,,,College,Q018,41.05763134057971
AR,,,,,College,Q019,14.119661095636026
AR,,,,,College,Q043,56.7875850971655
AR,,,,,College,Q044,24.13369373899924
AR,,,,,College,Q045,33.63519939615046
AR,,,,,College,Q046,34.229971353545
AR,,,,,College,Q047,18.329059785123118
AR,,,,,High school,Q018,48.83022697512003
AR,,,,,High school,Q019,23.21250570515746
AR,,,,,High school,Q043,43.28586443586444
AR,,,,,High school,Q044,16.11029816261415
AR,,,,,High school,Q045,30.0122719374457
AR,,,,,High school,Q046,25.68426908416607
AR,,,,,High school,Q047,36.35383593784586
AR,,,,,Some college/tech,Q018,45.85981818181818
AR,,,,,Some college/tech,Q019,18.37579651941098
AR,,,,,Some college/tech,Q043,48.753940406571985
AR,,,,,Some college/tech,Q044,20.213415497945885
AR,,,,,Some college/tech,Q045,30.925158741357414
AR,,,,,Some college/tech,Q046,31.387068273092368
AR,,,,,Some college/tech,Q047,27.85650771711587
AR,,,,,,Q018,45.50688007369451
AR,,,,,,Q019,20.933603360336033
AR,,,,,,Q043,46.16242069153942
AR,,,,,,Q044,18.139066529940028
AR,,,,,,Q045,30.20796839798784
AR,,,,,,Q046,28.569309974765787
AR,,,,,,Q047,31.84956184966848
AZ,15000 - 24999,,,,,Q018,39.34481316958453
AZ,15000 - 24999,,,,,Q019,26.6711714132187
AZ,15000 - 24999,,,,,Q043,46.66549743908117
AZ,15000 - 24999,,,,,Q044,18.91848513598988
AZ,15000 - 24999,,,,,Q045,29.731387319522913
AZ,15000 - 24999,,,,,Q046,27.780986342943855
AZ,15000 - 24999,,,,,Q047,31.918580285182887
AZ,25000 - 34999,,,,,Q018,39.08543201607501
AZ,25000 - 34999,,,,,Q019,24.93333333333333
AZ,25000 - 34999,,,,,Q043,50.99306759098787
AZ,25000 - 34999,,,,,Q044,22.277439430984664
AZ,25000 - 34999,,,,,Q045,33.46510910293146
AZ,25000 - 34999,,,,,Q046,33.05680523317155
AZ,25000 - 34999,,,,,Q047,27.272162455174715
AZ,35000 - 49999,,,,,Q018,39.5720674674163
AZ,35000 - 49999,,,,,Q019,19.555657172720146
AZ,35000 - 49999,,,,,Q043,56.38957516339868
AZ,35000 - 49999,,,,,Q044,26.166910542068504
AZ,35000 - 49999,,,,,Q045,36.036777408637874
AZ,35000 - 49999,,,,,Q046,35.36002544124662
AZ,35000 - 49999,,,,,Q047,23.209222858630564
AZ,50000 - 74999,,,,,Q018,38.698299776286355
AZ,50000 - 74999,,,,,Q019,18.022384650525353
AZ,50000 - 74999,,,,,Q043,57.05831613093483
AZ,50000 - 74999,,,,,Q044,25.180718025430064
AZ,50000 - 74999,,,,,Q045,36.933163647252584
AZ,50000 - 74999,,,,,Q046,37.26373563218391
AZ,50000 - 74999,,,,,Q047,18.58373610866114
AZ,75000 or greater,,,,,Q018,35.10598731750479
AZ,75000 or greater,,,,,Q019,14.895475113122172
AZ,75000 or greater,,,,,Q043,63.114772071552224
AZ,75000 or greater,,,,,Q044,30.833695652173915
AZ,75000 or greater,,,,,Q045,40.17334628460417
AZ,75000 or greater,,,,,Q046,41.46113348946136
AZ,75000 or greater,,,,,Q047,13.132942169352573
AZ,Less than 15000,,,,,Q018,44.29469835466179
AZ,Less than 15000,,,,,Q019,32.02074215033302
AZ,Less than 15000,,,,,Q043,43.97029442691903
AZ,Less than 15000,,,,,Q044,15.853945249597425
AZ,Less than 15000,,,,,Q045,28.570585106382982
AZ,Less than 15000,,,,,Q046,26.395067378591403
AZ,Less than 15000,,,,,Q047,35.111289184558004
AZ,,Female,,,,Q018,35.11767903568896
AZ,,Female,,,,Q019,18.538472272782432
AZ,,Female,,,,Q043,53.67687279670976
AZ,,Female,,,,Q044,22.75451887393635
AZ,,Female,,,,Q045,33.45443629834667
AZ,,Female,,,,Q046,30.987655715142743
AZ,,Female,,,,Q047,25.150425926191947
AZ,,Male,,,,Q018,42.771310209240276
AZ,,Male,,,,Q019,24.182510690729867
AZ,,Male,,,,Q043,57.18579472862348
